MR,MH,AR,EH,PR,ALP
1.418955192,0.788346944,1.024693354,-0.090001187,-0.645089544,0.754317496
1.248209583,0.523565912,0.881394244,-0.333989343,-0.210857502,-0.344367539
1.276486436,-0.239177257,-0.470499274,0.157570278,-0.210857502,0.664255556
1.903078955,1.405475083,1.183770037,-0.142764831,-0.262922144,0.709882619
1.442565195,-0.555364521,-0.426407367,-0.333989343,-0.725229283,0.248464364
1.179161794,-0.199882399,-0.470499274,-0.200339483,0.272739955,-0.895401527
1.20966188,1.006951921,0.807004846,-0.333989343,-0.262922144,-0.759372037
1.130628577,-0.728061484,-0.544606489,-0.090001187,-0.210857502,-0.047439895
1.343710797,0.55014616,0.73292569,-0.200339483,-0.024755022,-0.19015971
1.211314696,-0.320492801,0.109112821,-0.607769054,-0.375435119,-1.548082129
1.275237572,0.060725557,0.198299698,0.280610441,0.304874009,-0.19015971
1.395098993,0.375782117,0.447078117,0.33397578,-0.317677902,0.783305121
1.403619683,0.602955451,0.525809007,0.731528289,0.304874009,0.248464364
1.023332658,-0.123868741,-0.251230709,0.850763123,1.096509372,0.569190867
1.223145667,-0.196001148,0.513750496,0.280610441,-0.068351822,0.324900031
1.375145361,0.270583251,0.266648183,0.383053418,0.39609038,-0.240207327
1.80071219,1.922567844,2.21890235,0.085448981,-0.113783382,-0.19015971
1.538490131,1.278228587,1.480768105,-0.263666195,-0.210857502,-0.45439629
1.675259937,1.656831933,1.477187163,0.280610441,0.36650021,0.248464364
1.042715357,-0.067204495,-0.438344519,0.003854829,0.239652166,-0.860547518
1.369705051,1.427922826,1.904491023,0.157570278,0.096432998,0.10643574
1.617949814,1.969193609,1.715214533,0.547287544,0.745493349,0.248464364
1.304835718,-0.259159572,0.518584488,0.222157049,0.096432998,0.042039209
1.158433794,0.211307153,1.017780929,0.19070789,0.39609038,0.042039209
1.494687948,0.255979526,0.61237481,0.280610441,0.424923892,-0.45439629
0.768986344,-2.23394438,-1.623095849,-0.503090299,-0.210857502,-0.966905135
0.658107272,-1.474862904,-1.174432734,-1.375336814,-0.024755022,-0.45439629
0.498958073,-2.452839214,-2.194361058,-0.333989343,-0.725229283,-0.759372037
0.565104505,-3.017319177,-3.118226225,-1.087596257,-0.501501429,-2.081050711
0.405143256,-1.368308323,-2.225537772,-0.886620636,-0.907584193,-1.117626451
0.892900059,-0.687227404,-0.901577426,-1.87963184,-1.422440464,-1.117626451
0.418927641,-2.009550857,-1.707676788,-0.886620636,-0.262922144,-1.596124531
